headline,url
5 Convicted in Federal Fraud Trial Imperiled by a Gift Bag of Cash,https://www.nytimes.com/2024/06/07/us/federal-fraud-trial-minnesota.html
Are Big Music Tours Really in Trouble?,https://www.nytimes.com/2024/06/06/arts/music/tours-jlo-black-keys.html
"A Mazda, a Gift Bag of $120,000 and a Dismissed Juror",https://www.nytimes.com/2024/06/03/us/jury-bribe-feeding-our-future-fraud.html
A Huge Gender Gap Is Emerging Among Young Voters,https://www.nytimes.com/2024/05/01/opinion/biden-younger-voters-gender.html
Future and Metro Boomin’s Second Joint LP Opens at No. 1,https://www.nytimes.com/2024/04/22/arts/music/future-metro-boomin-billboard-chart.html
Climate Doom Is Out. ‘Apocalyptic Optimism’ Is In.,https://www.nytimes.com/2024/04/21/arts/television/climate-change-apocalypse-optimism.html
Popcast (Deluxe): It’s Drake vs. Everybody … Who’s Winning?,https://www.nytimes.com/2024/04/17/arts/music/drake-kendrick-beef-popcast-deluxe.html
"Rico Wade, an Architect of Atlanta Hip-Hop, Dies at 52",https://www.nytimes.com/2024/04/14/arts/music/rico-wade-dead.html
Future and Metro Boomin’s First Joint Album Opens Big at No. 1,https://www.nytimes.com/2024/04/01/arts/music/future-metro-boomin-billboard-chart.html
Partying on a Tuesday With Elon Musk and His 3-Year-Old,https://www.nytimes.com/2024/04/03/style/pbs-brief-history-of-future-elon-musk-moma.html
